DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
BUA,MANHATTAN,ST MARKS PLACE,American,10.0,A,09/11/2015,medium income
SUBWAY,MANHATTAN,CHURCH STREET,Sandwiches,13.0,A,08/10/2016,high income
TAURO RESTAURANT,MANHATTAN,HUDSON STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,05/28/2015,high income
CJ DIAMOND CAFE,QUEENS,COLLEGE POINT BLVD,Chinese,5.0,A,04/01/2017,low income
RELIABLE FOOD,MANHATTAN,EAST   54 STREET,American,25.0,B,08/31/2015,high income
DANIEL,MANHATTAN,EAST   65 STREET,French,9.0,A,04/14/2016,high income
PRET A MANGER,MANHATTAN,LEXINGTON AVENUE,Sandwiches,6.0,A,04/03/2017,high income
STARBUCKS,MANHATTAN,MADISON AVENUE,CafÃ©/Coffee/Tea,2.0,A,04/05/2016,high income
GROTTA AZZURRA,MANHATTAN,MULBERRY STREET,Italian,11.0,A,12/11/2015,high income
DA NICO RESTAURANT,MANHATTAN,MULBERRY STREET,Italian,11.0,A,10/07/2014,high income
DELIZIA  RISTORANTE,MANHATTAN,1 AVENUE,Italian,12.0,A,03/08/2016,high income
RAKU IT'S JAPANESE II,MANHATTAN,WEST   76 STREET,Japanese,16.0,B,12/23/2014,high income
WO HOP CITY,MANHATTAN,MOTT STREET,Chinese,13.0,A,12/07/2015,high income
BERKELEY,MANHATTAN,MADISON AVENUE,American,9.0,A,05/12/2015,high income
EMERGENCY SNACK BAR,BRONX,EDWARD L GRANT HIGHWAY,Spanish,13.0,A,03/20/2015,low income
STARBUCKS,MANHATTAN,3 AVENUE,CafÃ©/Coffee/Tea,4.0,A,06/22/2017,high income
THE PERFECT PINT,MANHATTAN,EAST   45 STREET,Irish,9.0,A,02/08/2016,high income
CABO RESTAURANT,STATEN ISLAND,PAGE AVENUE,Mexican,20.0,B,04/06/2016,medium income
LA CROSTA RESTAURANT,MANHATTAN,EAST   72 STREET,Pizza,10.0,A,07/22/2015,high income
GREAT WALL KITCHEN,BRONX,PROSPECT AVENUE,Chinese,12.0,A,11/16/2016,low income
LA FONDA DEL SOL,MANHATTAN,PARK AVENUE,Spanish,12.0,A,01/10/2017,high income
GUEROS BROOKLYN,BROOKLYN,PROSPECT PLACE,Tex-Mex,12.0,A,12/26/2014,medium income
BEACON THEATRE,MANHATTAN,BROADWAY,American,2.0,A,02/10/2017,high income
DEBEVOISE & PLIMPTON,MANHATTAN,3 AVENUE,American,13.0,A,08/22/2014,high income
SATURDAYS SURF NYC,MANHATTAN,CROSBY STREET,CafÃ©/Coffee/Tea,12.0,A,05/15/2014,high income
MORNINGSTAR RESTAURANT,MANHATTAN,2 AVENUE,American,12.0,A,06/20/2016,high income
MIDTOWN RESTAURANT,MANHATTAN,EAST   55 STREET,American,11.0,A,09/06/2016,high income
OLYMPIC FLAME DINER,MANHATTAN,WEST   60 STREET,American,8.0,A,07/27/2016,high income
FRANCESCO PIZZERIA,MANHATTAN,COLUMBUS AVENUE,Pizza/Italian,8.0,A,08/14/2014,high income
PARDON MY FRENCH,MANHATTAN,AVENUE B,French,14.0,B,03/08/2016,medium income
NEW YORK DINER,QUEENS,NORTHERN BOULEVARD,American,2.0,A,09/15/2016,medium income
CLEARVIEW PARK (GOLF COURSE),QUEENS,WILLETS POINT BOULEVARD,American,12.0,A,05/23/2017,medium income
FUH WAH RESTAURANT,BRONX,EAST  149 STREET,Chinese,7.0,A,04/07/2015,low income
718 HOOKAH LOUNGE,QUEENS,AUSTIN ST,Mediterranean,10.0,A,01/05/2016,medium income
MARINELL BAKERY,BRONX,EAST  167 STREET,Bakery,0.0,A,03/16/2017,low income
FUJI JAPANESE CUISINE,QUEENS,QUEENS BLVD,Japanese,13.0,A,02/24/2016,medium income
XO RESTAURANT,MANHATTAN,HESTER STREET,Chinese,17.0,B,01/29/2016,high income
SUBWAY,MANHATTAN,MAIN STREET,Sandwiches,7.0,A,07/26/2016,medium income
APHRODITES SWEETS,QUEENS,FRANCIS LEWIS BOULEVARD,Bakery,10.0,A,02/18/2015,medium income
CAFE SPICE,MANHATTAN,GRAND CENTRAL TERMINAL,Indian,10.0,A,08/24/2016,high income
FOREST HILLS BAGELS,QUEENS,QUEENS BOULEVARD,American,9.0,A,07/19/2017,medium income
JOSIE'S BAR,MANHATTAN,EAST    6 STREET,American,9.0,A,05/18/2015,medium income
LA TRATTORIA,MANHATTAN,2 AVENUE,Pizza,32.0,C,02/17/2016,high income
CAFE SPICE,MANHATTAN,GRAND CENTRAL TERMINAL,Indian,9.0,A,02/23/2016,high income
SUBWAY,BRONX,EAST  167 STREET,Sandwiches,12.0,A,01/26/2016,low income
DUTCH KILLS,QUEENS,JACKSON AVENUE,American,12.0,A,12/09/2016,medium income
MAGGIES PLACE,MANHATTAN,EAST   47 STREET,American,12.0,A,08/29/2016,high income
WILD GINGER VEGETARIAN KITCHEN,MANHATTAN,BROOME STREET,Vegetarian,18.0,Z,06/28/2017,high income
LUKE'S LOBSTER,MANHATTAN,EAST    7 STREET,Seafood,9.0,A,04/18/2017,medium income
BUDEPEST CAFE,MANHATTAN,2 AVENUE,Eastern European,9.0,A,08/22/2017,high income
FRED'S AT BARNEY'S,MANHATTAN,MADISON AVENUE,Italian,9.0,A,03/07/2016,high income
PRET A MANGER,MANHATTAN,3 AVENUE,Sandwiches,9.0,A,03/22/2016,high income
JEFFERIES CAFE (5th Floor),MANHATTAN,MADISON AVE,American,9.0,A,01/14/2016,high income
LEGEND OF TASTE,QUEENS,UTOPIA PKWY,Chinese,9.0,A,03/27/2017,medium income
STARBUCKS,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,2.0,A,01/27/2016,high income
MAISON KAYSER,MANHATTAN,BROADWAY,Bakery,12.0,A,01/22/2015,high income
PRET A MANGER,MANHATTAN,CHURCH STREET,American,4.0,A,08/05/2014,high income
JAKE'S DILEMMA,MANHATTAN,AMSTERDAM AVENUE,American,3.0,A,11/01/2016,high income
KING DAVID/MIKIHANA SUSHI,QUEENS,QUEENS BOULEVARD,Jewish/Kosher,28.0,Z,08/15/2017,medium income
SUBWAY,MANHATTAN,AVENUE B,Sandwiches,9.0,A,03/07/2016,medium income
NIGHT MARKET BBQ,QUEENS,PARSONS BLVD,Chinese,10.0,A,10/07/2015,low income
NEW WAVE CAFE & RESTAURANT,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,10.0,A,05/03/2016,high income
DESERT RAIN LOUNGE,QUEENS,METROPOLITAN AVE,American,22.0,B,05/29/2015,medium income
MCDONALD'S,QUEENS,QUEENS BOULEVARD,Hamburgers,13.0,A,12/02/2016,medium income
LUNA ROSSA,MANHATTAN,EAST   85 STREET,Italian,7.0,A,08/12/2015,high income
A LA TURKA,MANHATTAN,2 AVENUE,Mediterranean,11.0,A,09/11/2013,high income
DUNKIN' DONUTS,MANHATTAN,1 AVENUE,Donuts,9.0,A,03/16/2017,high income
CAFFE RUSTICO,QUEENS,149 STREET,Pizza,8.0,A,05/16/2016,medium income
SUNRISE COFFEE SHOP,QUEENS,PARSONS BOULEVARD,American,13.0,A,08/05/2014,low income
TOMPKINS SQUARE BAGELS,MANHATTAN,AVENUE A,American,7.0,A,10/18/2016,medium income
AROME,MANHATTAN,BROADWAY,American,13.0,A,08/18/2017,high income
PAPA YE RESTAURANT,BRONX,MCCLELLAN STREET,African,12.0,A,09/06/2016,low income
CARACAS BEACH CAFE,QUEENS,SHORE FRONT PKWY,American,7.0,A,06/22/2015,medium income
NICOLA'S RESTAURANT,MANHATTAN,EAST   84 STREET,Italian,12.0,A,06/16/2015,high income
BEARDED LADY,BROOKLYN,WASHINGTON AVENUE,American,12.0,A,03/31/2016,medium income
FOREST HILLS LITTLE LEAGUE,QUEENS,FLEET STREET,American,13.0,A,10/25/2014,medium income
CARAVAGGIO,MANHATTAN,EAST   74 STREET,Italian,7.0,A,06/11/2014,high income
FRESCO ON THE GO,MANHATTAN,EAST   52 STREET,American,10.0,A,04/08/2016,high income
STARBUCKS,QUEENS,BROADWAY,CafÃ©/Coffee/Tea,4.0,A,03/04/2015,high income
VALBELLA MIDTOWN,MANHATTAN,MADISON AVENUE,American,13.0,A,12/22/2015,high income
LUSARDI'S RESTAURANT,MANHATTAN,SECOND AVENUE,Italian,10.0,A,05/17/2016,high income
H & H MIDTOWN BAGELS EAST,MANHATTAN,2 AVENUE,Bagels/Pretzels,11.0,A,04/18/2016,high income
BRANDED SALOON,BROOKLYN,VANDERBILT AVENUE,American,11.0,A,01/09/2016,medium income
WAFELS & DINGES,MANHATTAN,AVENUE B,American,19.0,B,09/09/2014,medium income
TOURNESOL,QUEENS,VERNON BOULEVARD,French,9.0,A,07/24/2015,medium income
LA CAVA,MANHATTAN,2 AVENUE,Italian,12.0,A,08/05/2015,high income
TONG'S CAFE,QUEENS,MAIN STREET,Bakery,14.0,B,01/11/2016,low income
BARRE CAFE AT STEPS,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,2.0,A,12/08/2014,high income
KEY BAR,MANHATTAN,EAST   13 STREET,American,9.0,A,03/06/2015,medium income
CHECKERS,BRONX,SOUTHERN BOULEVARD,Hamburgers,7.0,A,05/18/2015,low income
COURT SQUARE DINER,QUEENS,23 STREET,American,12.0,A,10/21/2014,medium income
MUGI BAKERY,QUEENS,KISSENA BOULEVARD,Bakery,9.0,A,06/10/2016,low income
NIGHT MARKET BBQ,QUEENS,PARSONS BLVD,Chinese,19.0,B,06/20/2016,low income
LE VEAU DOR,MANHATTAN,EAST   60 STREET,French,7.0,A,07/21/2016,high income
ILMULINO,MANHATTAN,EAST   60 STREET,Italian,12.0,A,02/03/2014,high income
BRINDLE ROOM,MANHATTAN,EAST   10 STREET,American,28.0,C,09/29/2014,medium income
THE BREUKELEN COFFEE HOUSE,BROOKLYN,FRANKLIN AVENUE,CafÃ©/Coffee/Tea,21.0,B,08/26/2014,medium income
GOOD FORTUNE RESTAURANT,QUEENS,KISSENA BOULEVARD,Chinese,9.0,A,12/24/2016,low income
ALEX CAFE & DELI,MANHATTAN,LEXINGTON AVENUE,American,11.0,A,02/08/2016,high income
STARBUCKS,MANHATTAN,3 AVENUE,CafÃ©/Coffee/Tea,12.0,A,05/15/2015,high income
FLOR DE MAYO,MANHATTAN,AMSTERDAM AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.0,A,08/11/2016,high income
ALICE'S TEA CUP,MANHATTAN,WEST   73 STREET,American,8.0,A,02/15/2017,high income
BATARD,MANHATTAN,WEST BROADWAY,French,7.0,A,06/14/2016,high income
MAISON KAYSER,MANHATTAN,3 AVENUE,French,12.0,A,05/26/2015,high income
HALE & HEARTY SOUP,MANHATTAN,LEXINGTON AVENUE,Soups & Sandwiches,13.0,A,12/01/2014,high income
DIRTY PIERRES BISTRO,QUEENS,STATION SQUARE,French,14.0,B,02/07/2017,medium income
GOURMET 45,MANHATTAN,3 AVENUE,American,17.0,B,03/07/2016,high income
ONE AND ONE,MANHATTAN,1 AVENUE,Irish,9.0,A,10/21/2014,medium income
CAFE OLE RESTAURANT,QUEENS,36 AVENUE,Spanish,9.0,A,04/03/2017,medium income
SUBWAY,MANHATTAN,BROADWAY,Sandwiches/Salads/Mixed Buffet,7.0,A,03/24/2017,high income
MCDONALD'S,MANHATTAN,1 AVENUE,Hamburgers,12.0,A,04/18/2017,high income
MCDONALD'S,MANHATTAN,1 AVENUE,Hamburgers,12.0,A,04/18/2017,medium income
SUBWAY,QUEENS,QUEENS BLVD,Sandwiches,5.0,A,07/28/2015,medium income
MICHELLE RESTAURANT,MANHATTAN,AVENUE D,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,01/06/2017,medium income
MCDONALD'S,BRONX,EAST TREMONT AVENUE,Hamburgers,30.0,C,04/03/2017,low income
CAFE HIMALAYA,MANHATTAN,EAST    1 STREET,Asian,18.0,B,10/21/2015,medium income
PHO BANG RESTAURANT,MANHATTAN,MOTT STREET,Vietnamese/Cambodian/Malaysia,19.0,B,03/21/2017,high income
GRUPPO,MANHATTAN,AVENUE B,Pizza/Italian,7.0,A,10/31/2016,medium income
TAL BAGELS,MANHATTAN,LEXINGTON AVENUE,Bagels/Pretzels,7.0,A,05/05/2016,high income
JONES WOOD FOUNDRY,MANHATTAN,EAST   76 STREET,English,12.0,A,12/03/2014,high income
MELA'S CAFE,BRONX,WASHINGTON AVENUE,Spanish,12.0,A,05/22/2015,low income
STARBUCKS,MANHATTAN,2 AVENUE,CafÃ©/Coffee/Tea,7.0,A,02/05/2014,high income
LA ROSA BAKERY,BRONX,EAST  170 STREET,Bakery,12.0,A,07/19/2017,low income
BISTRO SK,BRONX,CITY ISLAND AVENUE,French,5.0,A,11/10/2015,medium income
MORRIS YACHT & BEACH CLUB,BRONX,CITY ISLAND AVENUE,American,24.0,Z,08/17/2017,medium income
THE INKAN,QUEENS,23 STREET,Peruvian,12.0,A,12/14/2016,medium income
SUBWAY,MANHATTAN,3 AVENUE,Sandwiches/Salads/Mixed Buffet,8.0,A,04/27/2015,high income
SAHARA EAST RESTAURANT,MANHATTAN,1 AVENUE,Middle Eastern,30.0,C,08/14/2014,medium income
FUKUOKA SHABU SHABU,QUEENS,KISSENA BOULEVARD,Asian,12.0,A,06/12/2014,low income
HADJA MARLEY RESTAURANT,BROOKLYN,FULTON STREET,African,12.0,A,01/19/2017,medium income
PUERTO VIEJO RESTAURANT,BROOKLYN,GRAND AVENUE,American,9.0,A,01/06/2015,medium income
BLOCKHEAD'S MEXICAN DINER,MANHATTAN,2 AVENUE,Mexican,11.0,A,03/04/2015,high income
ORIGINAL PUGLIA RISTORANTE ITALIANO,MANHATTAN,HESTER STREET,Italian,7.0,A,12/09/2014,high income
AMSTERDAM ALE HOUSE,MANHATTAN,AMSTERDAM AVENUE,American,30.0,C,04/13/2016,high income
PIG & WHISTLE ON 3RD,MANHATTAN,3 AVENUE,American,13.0,A,03/08/2016,high income
NEW YORK LUNCHEONETTE,MANHATTAN,EAST   50 STREET,American,13.0,A,12/23/2015,high income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,CafÃ©/Coffee/Tea,10.0,A,03/02/2017,high income
PUFFY'S TAVERN,MANHATTAN,HUDSON STREET,American,2.0,A,06/19/2017,high income
KINGS CARRIAGE HOUSE,MANHATTAN,EAST   82 STREET,American,18.0,B,04/27/2017,high income
DRAUGHT 55 BAR & KITCHEN,MANHATTAN,EAST   55 STREET,American,8.0,A,08/15/2016,high income
DRAGON SEA,BRONX,EAST  180 STREET,Chinese,10.0,A,11/25/2015,low income
JOHNNY'S BAKERY,BRONX,PROSPECT AVENUE,Bakery,10.0,A,04/12/2016,low income
MANDUCATIS RUSTICA VIG,QUEENS,VERNON BOULEVARD,Italian,12.0,A,02/21/2017,medium income
CRISTINA DELI,QUEENS,150TH ST,Delicatessen,13.0,A,06/27/2017,medium income
KASBAH BBQ & GRILL,MANHATTAN,WEST   85 STREET,Jewish/Kosher,12.0,A,09/01/2016,high income
JOE'S GINGER RESTAURANT,MANHATTAN,PELL STREET,Chinese,22.0,B,04/13/2015,high income
PRICE WATERHOUSE CAFETERIA,MANHATTAN,MADISON AVENUE,American,8.0,A,02/13/2015,high income
MUZZARELLA PIZZA,MANHATTAN,AVENUE A,Pizza,10.0,A,07/01/2014,medium income
FAMOUS & FRESH 99Â¢ PIZZA,MANHATTAN,AVENUE A,Pizza/Italian,3.0,A,06/27/2016,medium income
SWAGAT,MANHATTAN,AMSTERDAM AVENUE,Indian,2.0,A,09/28/2015,high income
DELICIAS MANABITAS RESTAURANT,QUEENS,35 AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23.0,B,08/10/2015,medium income
RANDALL RESTAURANT,BRONX,RANDALL AVENUE,Spanish,55.0,C,04/11/2016,low income
GOOD TASTE RESTAURANT,QUEENS,29 STREET,Chinese,10.0,A,01/07/2016,medium income
CAFE LUKA,MANHATTAN,1 AVENUE,American,12.0,A,12/26/2014,high income
KETSIE GROCERY,BRONX,E 149TH ST,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13.0,P,08/26/2015,low income
MAGGIES PLACE,MANHATTAN,EAST   47 STREET,American,13.0,A,01/15/2014,high income
DISHES,MANHATTAN,EAST   45 STREET,American,12.0,A,10/15/2014,high income
CAFFEINA ESPRESSO BAR,QUEENS,23 STREET,CafÃ©/Coffee/Tea,12.0,A,04/02/2015,medium income
GLORIA PIZZA,QUEENS,QUEENS BOULEVARD,Pizza,11.0,A,05/04/2016,medium income
JAIYA THAI & ORIENTAL RESTAURANT,MANHATTAN,2 AVENUE,Thai,8.0,A,04/02/2015,high income
STARBUCKS,QUEENS,QUEENS BOULEVARD,CafÃ©/Coffee/Tea,5.0,A,02/27/2017,medium income
SPRING NATURAL KITCHEN,MANHATTAN,COLUMBUS AVENUE,American,19.0,B,01/11/2017,high income
CIAO FOR NOW,MANHATTAN,EAST   12 STREET,CafÃ©/Coffee/Tea,9.0,A,12/05/2016,medium income
COLONY CLUB,MANHATTAN,PARK AVENUE,American,8.0,A,08/10/2016,high income
ANTHONY & JOE'S PIZZA,BRONX,SOUTHERN BOULEVARD,Pizza,8.0,A,07/01/2015,low income
NEW DAWN RESTAURANT,QUEENS,22 STREET,American,7.0,A,09/29/2015,medium income
FAY DA BAKERY,QUEENS,MAIN STREET,Bakery,14.0,B,07/15/2015,low income
FINNEGAN'S WAKE PUB,MANHATTAN,FIRST AVENUE,American,13.0,A,01/05/2017,high income
LE MOULIN A CAFE,MANHATTAN,YORK AVENUE,CafÃ©/Coffee/Tea,5.0,A,07/19/2017,high income
SPICE,MANHATTAN,AMSTERDAM AVENUE,Thai,7.0,A,10/14/2014,high income
THE ROXY HOTEL,MANHATTAN,WHITE STREET,American,10.0,A,08/30/2016,high income
MADISON RESTAURANT,MANHATTAN,1 AVENUE,American,8.0,A,08/15/2016,high income
MACCHIATO ESPRESSO BAR,MANHATTAN,FIFTH AVENUE,CafÃ©/Coffee/Tea,10.0,A,05/15/2015,high income
MANHATTAN ESPRESSO,MANHATTAN,EAST   49 STREET,CafÃ©/Coffee/Tea,2.0,A,12/16/2014,high income
DOC HOLIDAYS,MANHATTAN,AVENUE A,American,7.0,A,05/16/2016,medium income
DEUX AMIS,MANHATTAN,EAST   51 STREET,French,13.0,A,08/07/2017,high income
PETEY'S BURGER,QUEENS,VERNON BOULEVARD,American,12.0,A,09/07/2016,medium income
KANA TAPAS BAR & RESTAURANT,MANHATTAN,SPRING STREET,Tapas,10.0,A,03/22/2016,high income
696 GOURMET DELI,MANHATTAN,3 AVENUE,American,9.0,A,02/19/2015,high income
ALCALA RESTAURANT,MANHATTAN,EAST   44 STREET,Spanish,2.0,A,01/31/2017,high income
LA VIGNA,QUEENS,METROPOLITAN AVENUE,Italian,9.0,A,06/08/2017,medium income
COLUMBUS GOURMET FOOD,MANHATTAN,COLUMBUS AVE STORE #2,American,31.0,C,12/15/2014,high income
TINY'S AND THE BAR UPSTAIRS,MANHATTAN,WEST BROADWAY,American,10.0,A,08/15/2017,high income
PINKBERRY,MANHATTAN,BROADWAY,"Ice Cream, Gelato, Yogurt, Ices",12.0,A,07/27/2016,high income
FAY DA BAKERY,MANHATTAN,MOTT STREET,Bakery,2.0,A,03/04/2016,high income
ELIM DELI CAFE,MANHATTAN,LEXINGTON AVENUE,Delicatessen,24.0,B,03/11/2014,high income
PERSHING SQUARE CAFE,MANHATTAN,EAST   42 STREET,American,10.0,A,09/30/2014,high income
LE PAIN QUOTIDIEN,MANHATTAN,EAST   77 STREET,Sandwiches,5.0,A,03/26/2015,high income
FLOR DE MAYO,MANHATTAN,AMSTERDAM AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",22.0,B,10/02/2014,high income
HARNEY & SONS TEA,MANHATTAN,BROOME STREET,CafÃ©/Coffee/Tea,7.0,A,11/26/2014,high income
PJ MORANS,MANHATTAN,EAST   48 STREET,Irish,17.0,B,05/26/2015,high income
FINNEGAN'S WAKE PUB,MANHATTAN,FIRST AVENUE,American,9.0,A,09/18/2014,high income
NEW DAWN RESTAURANT,QUEENS,22 STREET,American,18.0,B,09/22/2014,medium income
JOE COFFEE,MANHATTAN,LEXINGTON AVENUE,CafÃ©/Coffee/Tea,8.0,A,01/27/2017,high income
EAST SIDE BAGEL CAFE,MANHATTAN,1 AVENUE,Bagels/Pretzels,13.0,A,06/05/2017,high income
SUBWAY,MANHATTAN,LEXINGTON AVENUE,Sandwiches,12.0,A,07/12/2017,high income
MAYA TAQUERIA,BROOKLYN,VANDERBILT AVENUE,Mexican,12.0,A,06/18/2015,medium income
NEW YORK JR. LEAGUE,MANHATTAN,EAST   80 STREET,CafÃ©/Coffee/Tea,10.0,A,04/29/2014,high income
BEYOGLU,MANHATTAN,EAST   81 STREET,Mediterranean,9.0,A,06/23/2015,high income
FRIARS NATIONAL ASSOC.,MANHATTAN,EAST   55 STREET,American,13.0,A,03/17/2014,high income
PACKARD  CAFE,QUEENS,CRESCENT STREET,American,9.0,A,01/14/2015,medium income
PLAZA TULCINGO RESTAURANT,BRONX,EAST CLARKE PLACE,Mexican,6.0,A,03/25/2016,low income
MORRIS YACHT & BEACH CLUB,BRONX,CITY ISLAND AVENUE,American,27.0,B,06/29/2016,medium income
UNCLE PAULS PIZZA NY,MANHATTAN,VANDERBILT AVENUE,Pizza/Italian,9.0,A,09/15/2015,high income
SATURDAYS SURF NYC,MANHATTAN,CROSBY STREET,CafÃ©/Coffee/Tea,9.0,A,01/17/2017,high income
PREVITI PIZZA,MANHATTAN,EAST   41 STREET,Pizza,9.0,A,08/24/2015,high income
PASTICCERIA AMORE D'ITALIA,QUEENS,71 ROAD,Bakery,11.0,A,05/23/2014,medium income
JEAN GEORGES,MANHATTAN,CENTRAL PARK WEST,French,13.0,A,07/24/2017,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,BROADWAY,Mexican,7.0,A,07/27/2013,high income
SMILER'S DELI,MANHATTAN,MADISON AVENUE,Delicatessen,12.0,A,12/10/2014,high income
PATSY'S PIZZERIA,QUEENS,UTOPIA PARKWAY,Italian,6.0,A,05/17/2016,medium income
THE BEST ITALIAN PIZZA,BRONX,EAST  149 STREET,Pizza,25.0,B,05/05/2014,low income
DAVIDSTEA,MANHATTAN,3 AVENUE,CafÃ©/Coffee/Tea,24.0,B,01/05/2017,high income
EL PORTON BAR & MEXICAN RESTAURANT,BRONX,SOUTHERN BOULEVARD,Mexican,27.0,B,07/03/2014,low income
BASICS CAFETERIA,BRONX,FRANKLIN AVENUE,American,9.0,A,07/10/2015,low income
TORI O'TOOLES,QUEENS,KISSENA BLVD,Irish,12.0,A,03/06/2017,low income
SMILER'S DELI,MANHATTAN,MADISON AVENUE,Delicatessen,12.0,A,12/02/2015,high income
MANHATTAN WEST,MANHATTAN,EAST   78 STREET,American,2.0,A,10/20/2015,high income
GOOD ENOUGH TO EAT (A.G. BISTRO),MANHATTAN,COLUMBUS AVENUE,American,42.0,C,02/24/2016,high income
AZUSA OF JAPAN,MANHATTAN,EAST   44 STREET,Japanese,16.0,B,05/27/2015,high income
PORTOFINO RESTAURANT,BRONX,CITY ISLAND AVENUE,Italian,25.0,B,04/13/2015,medium income
QUEEN'S PIZZA,QUEENS,QUEENS BOULEVARD,Pizza,10.0,C,09/15/2014,medium income
BASCOM CATERING & EVENTS,BRONX,GARRISON AVENUE,American,4.0,A,05/02/2017,low income
HALE & HEARTY SOUP,MANHATTAN,MADISON AVENUE,Soups & Sandwiches,13.0,A,02/28/2014,high income
MCDONALD'S,MANHATTAN,BROADWAY,American,13.0,A,04/20/2015,high income
BOARDWALK BAGEL,QUEENS,ROCKAWAY BEACH DRIVE,Bagels/Pretzels,12.0,A,10/07/2015,medium income
STARBUCKS,MANHATTAN,WORTH STREET,CafÃ©/Coffee/Tea,2.0,A,09/11/2014,high income
GUASTAVINO'S,MANHATTAN,EAST   59 STREET,American,6.0,A,03/26/2015,high income
FRIARS NATIONAL ASSOC.,MANHATTAN,EAST   55 STREET,American,12.0,A,05/18/2016,high income
NEW YORK DINER,QUEENS,NORTHERN BOULEVARD,American,34.0,C,05/21/2014,medium income
KING DAVID/MIKIHANA SUSHI,QUEENS,QUEENS BOULEVARD,Jewish/Kosher,11.0,A,10/22/2014,medium income
BOROUGH RESTAURANT,BROOKLYN,FRANKLIN AVENUE,American,9.0,A,11/04/2015,medium income
HIDEAWAY,MANHATTAN,DUANE STREET,American,11.0,A,01/13/2016,high income
NIALL'S ON 52ND,MANHATTAN,EAST   52 STREET,Irish,7.0,A,09/08/2016,high income
JUNG SIK,MANHATTAN,HARRISON STREET,Korean,10.0,A,01/20/2016,high income
LULU JUICY FRUIT,BRONX,SOUTHERN BOULEVARD,"Juice, Smoothies, Fruit Salads",12.0,A,10/31/2016,low income
WEST AFRICAN RESTAURANT,BRONX,EAST  169 STREET,African,3.0,A,08/09/2016,low income
ESTANCIA 460,MANHATTAN,GREENWICH STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,04/17/2017,high income
AMERICAN BAR,MANHATTAN,1 AVENUE,American,22.0,B,12/15/2014,high income
HERO FACTORY,BRONX,EAST  149 STREET,Sandwiches,10.0,P,04/01/2017,low income
TAKAHACHI BAKERY,MANHATTAN,MURRAY STREET,Bakery,5.0,A,06/13/2017,high income
SUBWAY,MANHATTAN,BROADWAY,Sandwiches/Salads/Mixed Buffet,12.0,A,08/14/2017,high income
SAHARA EAST RESTAURANT,MANHATTAN,1 AVENUE,Middle Eastern,18.0,B,06/13/2016,medium income
STARBUCKS,BROOKLYN,3 AVENUE,CafÃ©/Coffee/Tea,12.0,A,07/28/2016,high income
THE NEW THOMPSON DINER,QUEENS,QUEENS BOULEVARD,American,8.0,A,08/04/2014,medium income
EAST MEETS WEST,QUEENS,BEACH  129 STREET,Chinese,12.0,A,03/06/2017,medium income
STARBUCKS,MANHATTAN,LEXINGTON AVENUE,CafÃ©/Coffee/Tea,8.0,A,06/03/2014,high income
SUBWAY,QUEENS,BROADWAY,Sandwiches,7.0,A,03/09/2015,high income
GRAND SICHUAN EASTERN,MANHATTAN,2 AVENUE,Chinese,15.0,B,03/05/2015,high income
I-FORTUNE COOKIE,QUEENS,21ST ST,Chinese,12.0,A,02/11/2015,medium income
DELMONICO GOURMET,MANHATTAN,LEXINGTON AVENUE,American,26.0,B,08/10/2016,high income
HUNGRY GHOST,BROOKLYN,STERLING PLACE,CafÃ©/Coffee/Tea,9.0,A,08/11/2014,medium income
PIZZA HUT,BRONX,WESTCHESTER AVENUE,Pizza,14.0,B,04/07/2015,low income
BURGER KING,BRONX,JEROME AVENUE,Hamburgers,10.0,A,01/06/2015,low income
MON CHER MARKET,MANHATTAN,BROADWAY,American,12.0,A,02/26/2014,high income
MCDONALD'S,BRONX,3RD AVE @164TH ST E,Hamburgers,9.0,A,12/16/2015,low income
NEW IMPERIAL KITCHEN,BROOKLYN,FULTON STREET,Chinese,11.0,A,05/06/2014,medium income
HEIDELBERG RESTAURANT,MANHATTAN,2 AVENUE,German,12.0,A,05/02/2017,high income
BARRE CAFE AT STEPS,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,9.0,A,12/07/2015,high income
LITTLE CAESARS,BRONX,EAST  149 STREET,Pizza,10.0,A,07/31/2017,low income
MIKE'S PIZZA,QUEENS,30 STREET,Italian,13.0,A,09/18/2014,medium income
MACCHIATO ESPRESSO BAR,MANHATTAN,EAST   44 STREET,CafÃ©/Coffee/Tea,11.0,A,08/28/2015,high income
KING'S CHEF,QUEENS,CROSS ISLAND PARKWAY,Chinese,11.0,A,09/04/2014,medium income
